Date,Confirmed
03-03-2020,1
04-03-2020,15
05-03-2020,15
06-03-2020,15
07-03-2020,15
08-03-2020,15
09-03-2020,15
10-03-2020,15
11-03-2020,3
12-03-2020,3
13-03-2020,3
14-03-2020,3
15-03-2020,4
16-03-2020,4
17-03-2020,4
18-03-2020,4
19-03-2020,7
20-03-2020,17
21-03-2020,17
22-03-2020,24
23-03-2020,28
24-03-2020,32
25-03-2020,36
26-03-2020,41
27-03-2020,41
28-03-2020,54
29-03-2020,55
30-03-2020,59
31-03-2020,74
01-04-2020,93
02-04-2020,108
03-04-2020,167
04-04-2020,200
05-04-2020,200
06-04-2020,274
07-04-2020,288
08-04-2020,328
09-04-2020,383
10-04-2020,463
11-04-2020,553
12-04-2020,700
13-04-2020,812
14-04-2020,879
15-04-2020,1005
16-04-2020,1023
17-04-2020,1131
18-04-2020,1229
19-04-2020,1351
20-04-2020,1478
21-04-2020,1576
22-04-2020,1801
23-04-2020,1890
24-04-2020,1964
25-04-2020,2034
26-04-2020,2083
27-04-2020,2185
28-04-2020,2262
29-04-2020,2364
30-04-2020,2438
01-05-2020,2584
02-05-2020,2666
03-05-2020,2772
04-05-2020,2886
05-05-2020,3061
06-05-2020,3158
07-05-2020,3317
08-05-2020,3427
09-05-2020,3579
10-05-2020,3708
11-05-2020,3814
12-05-2020,3988
13-05-2020,4126
14-05-2020,4328
15-05-2020,4534
16-05-2020,4727
17-05-2020,4960
18-05-2020,5202
19-05-2020,5507
20-05-2020,5845
21-05-2020,6015
22-05-2020,6227
23-05-2020,6494
24-05-2020,6742
25-05-2020,7028
26-05-2020,7300
27-05-2020,7536
28-05-2020,7703
29-05-2020,8067
30-05-2020,8365
31-05-2020,8617
01-06-2020,8831
02-06-2020,8980
03-06-2020,9373
04-06-2020,9652
05-06-2020,9862
06-06-2020,10084
07-06-2020,10331
08-06-2020,10599
09-06-2020,10763
10-06-2020,11245
11-06-2020,11600
12-06-2020,11838
13-06-2020,12068
14-06-2020,12401
15-06-2020,12694
16-06-2020,12981
17-06-2020,13216
18-06-2020,13542
19-06-2020,13857
20-06-2020,14156
21-06-2020,14536
22-06-2020,14930
23-06-2020,15232
24-06-2020,15627
25-06-2020,16009
26-06-2020,16296
27-06-2020,16660
28-06-2020,16944
29-06-2020,17271
30-06-2020,17660
01-07-2020,18014
02-07-2020,18312
03-07-2020,18662
04-07-2020,19052
05-07-2020,19532
06-07-2020,20164
07-07-2020,20688
08-07-2020,21404
09-07-2020,22063
10-07-2020,22563
11-07-2020,23174
12-07-2020,23748
13-07-2020,24392
14-07-2020,24936
15-07-2020,25571
16-07-2020,26437
17-07-2020,27174
18-07-2020,27789
19-07-2020,28500
20-07-2020,29434
21-07-2020,30390
22-07-2020,31373
23-07-2020,32334
24-07-2020,33220
25-07-2020,34178
26-07-2020,35298
27-07-2020,35909
28-07-2020,36878
29-07-2020,38514
30-07-2020,38964
31-07-2020,40145
01-08-2020,41298
02-08-2020,42646
03-08-2020,43804
04-08-2020,44975
05-08-2020,46679
06-08-2020,47272
07-08-2020,48996
08-08-2020,50157
09-08-2020,51328
10-08-2020,52497
11-08-2020,53670
12-08-2020,54887
13-08-2020,56100
14-08-2020,57414
15-08-2020,58692
16-08-2020,59979
17-08-2020,61296
18-08-2020,62630
19-08-2020,63977
20-08-2020,65289
21-08-2020,66619
22-08-2020,67954
23-08-2020,69264
24-08-2020,70609
25-08-2020,71955
26-08-2020,73325
27-08-2020,74670
28-08-2020,76015
29-08-2020,77370
30-08-2020,78777
31-08-2020,80227
01-09-2020,81693
02-09-2020,83163
03-09-2020,84674
04-09-2020,86227
05-09-2020,87797
06-09-2020,89363
07-09-2020,90956
08-09-2020,92536
09-09-2020,94126
10-09-2020,95736
11-09-2020,97376
12-09-2020,99036
13-09-2020,100705
14-09-2020,102408
15-09-2020,104138
16-09-2020,105898
17-09-2020,107680
18-09-2020,109473
19-09-2020,111290
20-09-2020,113124
21-09-2020,114989
22-09-2020,116881
23-09-2020,118793
24-09-2020,120739
25-09-2020,122720
26-09-2020,124730
27-09-2020,126775
28-09-2020,128859
29-09-2020,130971
30-09-2020,133119
01-10-2020,135292
02-10-2020,137485
03-10-2020,139696
04-10-2020,141846
05-10-2020,144030
06-10-2020,146195
07-10-2020,148316
08-10-2020,150467
09-10-2020,152605
10-10-2020,154785
11-10-2020,156908
12-10-2020,159052
13-10-2020,161184
14-10-2020,163219
15-10-2020,165240
16-10-2020,167279
17-10-2020,169289
18-10-2020,171281
19-10-2020,173266
20-10-2020,175226
21-10-2020,177123
22-10-2020,178933
23-10-2020,180755
24-10-2020,182570
25-10-2020,184422
26-10-2020,186243
27-10-2020,188048
28-10-2020,189844
29-10-2020,191629
30-10-2020,193419
31-10-2020,195213
01-11-2020,196993
02-11-2020,198747
03-11-2020,200495
04-11-2020,202220
05-11-2020,203990
06-11-2020,205800
07-11-2020,207597
08-11-2020,209438
09-11-2020,211310
10-11-2020,213169
11-11-2020,215071
12-11-2020,217151
13-11-2020,219327
14-11-2020,221471
15-11-2020,223633
16-11-2020,225817
17-11-2020,227986
18-11-2020,230180
19-11-2020,232358
20-11-2020,234907
21-11-2020,237669
22-11-2020,240676
23-11-2020,243936
24-11-2020,247168
25-11-2020,250482
26-11-2020,253767
27-11-2020,256947
28-11-2020,260040
29-11-2020,262805
30-11-2020,265386
01-12-2020,268063
02-12-2020,270410
03-12-2020,272400
04-12-2020,274486
05-12-2020,276420
06-12-2020,278496
07-12-2020,280585
08-12-2020,282512
09-12-2020,284116
10-12-2020,285627
11-12-2020,287219
12-12-2020,288692
13-12-2020,289999
14-12-2020,291289
15-12-2020,292539
16-12-2020,293584
17-12-2020,294831
18-12-2020,295953
19-12-2020,297029
20-12-2020,298018
21-12-2020,301580
22-12-2020,299909
23-12-2020,300716
24-12-2020,301708
25-12-2020,302709
26-12-2020,303732
27-12-2020,304517
28-12-2020,305360
29-12-2020,306158
30-12-2020,306784
31-12-2020,307554
01-01-2021,308243
02-01-2021,308852
03-01-2021,309319
04-01-2021,309821
05-01-2021,310278
06-01-2021,310675
07-01-2021,311111
08-01-2021,311620
09-01-2021,312091
10-01-2021,312521
11-01-2021,312996
12-01-2021,313425
13-01-2021,313718
14-01-2021,314091
15-01-2021,314372
16-01-2021,314682
17-01-2021,314920
18-01-2021,315181
19-01-2021,315394
20-01-2021,315603
21-01-2021,315816
22-01-2021,316081
23-01-2021,316282
24-01-2021,316485
25-01-2021,316652
26-01-2021,316845
27-01-2021,316970
28-01-2021,317104
29-01-2021,317189
30-01-2021,317292
31-01-2021,317396
01-02-2021,317491
02-02-2021,317587
03-02-2021,317674
04-02-2021,317766
05-02-2021,317905
06-02-2021,318021
07-02-2021,318118
08-02-2021,318193
09-02-2021,318294
10-02-2021,318384
11-02-2021,318491
12-02-2021,318602
13-02-2021,318710
14-02-2021,318820
15-02-2021,318923
16-02-2021,319005
17-02-2021,319065
18-02-2021,319166
19-02-2021,319270
20-02-2021,319363
21-02-2021,319461
22-02-2021,319543
23-02-2021,319626
24-02-2021,319702
25-02-2021,319801
26-02-2021,319929
27-02-2021,320078
28-02-2021,320180
01-03-2021,320336
02-03-2021,320455
03-03-2021,320557
04-03-2021,320772
05-03-2021,320928
06-03-2021,321123
07-03-2021,321356
08-03-2021,321532
09-03-2021,321711
10-03-2021,321890
11-03-2021,321890
12-03-2021,322078
13-03-2021,322518
14-03-2021,322719
15-03-2021,322969
16-03-2021,323220
17-03-2021,323461
18-03-2021,323774
19-03-2021,324101
20-03-2021,324503
21-03-2021,324948
22-03-2021,325424
23-03-2021,326026
24-03-2021,326506
25-03-2021,327175
26-03-2021,327890
27-03-2021,328743
28-03-2021,329595
29-03-2021,330676
30-03-2021,331578
31-03-2021,332243
01-04-2021,333149
02-04-2021,334499
03-04-2021,335921
04-04-2021,337596
05-04-2021,339325
06-04-2021,341754
07-04-2021,343990
08-04-2021,346791
09-04-2021,350317
10-04-2021,354287
11-04-2021,358688
12-04-2021,363793
13-04-2021,369564
14-04-2021,375092
15-04-2021,381292
16-04-2021,387950
17-04-2021,395309
18-04-2021,404355
19-04-2021,414617
20-04-2021,426584
21-04-2021,438785
22-04-2021,453407
23-04-2021,467875
24-04-2021,483273
25-04-2021,498628
26-04-2021,514437
27-04-2021,530875
28-04-2021,546964
29-04-2021,563577
30-04-2021,580846
01-05-2021,598001
02-05-2021,615653
03-05-2021,633951
04-05-2021,651247
05-05-2021,668221
06-05-2021,685036
07-05-2021,702568
08-05-2021,720799
09-05-2021,738720
10-05-2021,755207
11-05-2021,771287
12-05-2021,787671
13-05-2021,803538
14-05-2021,817827
15-05-2021,831402
16-05-2021,841682
17-05-2021,853279
18-05-2021,863128
19-05-2021,872977
